Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
acknowledged	0.00778	0.03102	0.05177	0.00374	0.00801	0.24784	0.00906	0.00784	0.26970	0.00073	0.04326
acknowledges	0.00725	0.04543	0.06777	0.00283	0.00695	0.14987	0.00825	0.00947	0.25431	0.00081	0.05707
acknowledging	0.00763	0.03815	0.07165	0.00317	0.00687	0.15000	0.00868	0.01114	0.22457	0.00073	0.05807
acoustic	0.01735	0.01721	0.67876	0.00198	0.00193	0.01891	0.00313	0.00163	0.01192	0.00043	0.00640
acquaintance	0.01181	0.07979	0.02913	0.00390	0.00322	0.08054	0.01943	0.00297	0.44076	0.00107	0.02324
acquaintances	0.01656	0.03242	0.03132	0.00145	0.00228	0.13719	0.00837	0.00342	0.44564	0.00113	0.02077
acquainted	0.00748	0.04269	0.02432	0.00333	0.00260	0.12220	0.03008	0.00462	0.32769	0.00110	0.04460
acquire	0.00318	0.00411	0.00457	0.00176	0.00274	0.76428	0.00383	0.00372	0.06224	0.00037	0.01017
acquired	0.00160	0.00096	0.00139	0.00148	0.00287	0.94078	0.00136	0.00178	0.01316	0.00052	0.00659
acquiring	0.00243	0.00171	0.00213	0.00177	0.00333	0.88644	0.00246	0.00167	0.02477	0.00052	0.00772
acquisition	0.00172	0.00072	0.00109	0.00114	0.00552	0.91719	0.00072	0.00109	0.01999	0.00034	0.00343
acquisitions	0.00250	0.00230	0.00448	0.00434	0.01228	0.36924	0.00219	0.00031	0.20373	0.00019	0.00257
acquitted	0.00572	0.00646	0.01295	0.00290	0.00203	0.04299	0.00991	0.00149	0.75567	0.00046	0.00796
acre	0.00314	0.00430	0.00071	0.00159	0.00177	0.00529	0.00153	0.00892	0.00087	0.00030	0.95360
acres	0.00239	0.00711	0.00096	0.00122	0.00091	0.01280	0.00138	0.00792	0.00148	0.00044	0.93466
acronym	0.00227	0.03047	0.00905	0.00529	0.00187	0.02472	0.25407	0.00114	0.49274	0.00079	0.01112
across	0.00497	0.90548	0.00120	0.00175	0.00090	0.01275	0.00512	0.04804	0.00283	0.00035	0.02557
act	0.01294	0.02205	0.06284	0.00271	0.00442	0.08591	0.00605	0.00589	0.33716	0.00075	0.03706
acted	0.03156	0.01368	0.02208	0.00275	0.00485	0.11341	0.01041	0.00237	0.55992	0.00062	0.00762
acting	0.04107	0.02809	0.01707	0.00283	0.00712	0.07182	0.01046	0.00316	0.52147	0.00085	0.00673
action	0.02179	0.01439	0.01187	0.00152	0.00467	0.03184	0.01361	0.00189	0.73300	0.00059	0.00437
actions	0.00761	0.00963	0.00790	0.00109	0.00359	0.02427	0.01809	0.00130	0.84476	0.00063	0.00541
activate	0.00214	0.01003	0.00100	0.00084	0.00731	0.00362	0.01387	0.90198	0.00121	0.00017	0.00559
activated	0.00241	0.00924	0.01424	0.00274	0.00494	0.01623	0.19466	0.05169	0.02411	0.00048	0.02144
activates	0.00360	0.05233	0.01617	0.00464	0.00182	0.01911	0.17743	0.00268	0.34517	0.00110	0.01444
activation	0.00353	0.01030	0.02349	0.00294	0.00216	0.01642	0.45169	0.00581	0.09089	0.00096	0.01050
active	0.00514	0.00935	0.01230	0.00289	0.00320	0.11399	0.00712	0.00187	0.66276	0.00057	0.00991
actively	0.00394	0.00578	0.00567	0.00118	0.00255	0.07475	0.00493	0.00072	0.86093	0.00050	0.00706
activism	0.00397	0.00503	0.00411	0.00079	0.00172	0.05021	0.00326	0.00056	0.91727	0.00040	0.00480
activist	0.00377	0.00433	0.00293	0.00080	0.00197	0.02764	0.00215	0.00039	0.94497	0.00027	0.00374
activists	0.00507	0.00497	0.00377	0.00044	0.00108	0.02063	0.00324	0.00043	0.94365	0.00037	0.00454
activities	0.00515	0.00881	0.01159	0.00146	0.00388	0.12288	0.00452	0.00167	0.66079	0.00066	0.01518
activity	0.00721	0.04875	0.02091	0.00227	0.00530	0.12692	0.01026	0.00415	0.47873	0.00105	0.03890
